"Item Code","Item Group","Default Unit of Measure","Series","Item Name","HSN/SAC","Disabled","Allow Alternative Item","Maintain Stock","Has Variants","Opening Stock","Default Purchase Unit of Measure","MRP per purchase UOM","MRP","Valuation Rate","Standard Selling Rate","Is Fixed Asset","Rate for Native","Rate for Foreign","Auto Create Assets on Purchase","Create Grouped Asset","Over Delivery/Receipt Allowance (%)","Over Billing Allowance (%)","Description","Shelf Life In Days","End of Life","Default Material Request Type","Weight Per Unit","Allow Negative Stock","Has Batch No","Automatically Create New Batch","Has Expiry Date","Retain Sample","Max Sample Quantity","Has Serial No","Variant Based On","Enable Deferred Expense","No of Months (Expense)","Enable Deferred Revenue","No of Months (Revenue)","Minimum Order Qty","Safety Stock","Allow Purchase","Lead Time in days","Last Purchase Rate","Is Customer Provided Item","Delivered by Supplier (Drop Ship)","Country of Origin","Grant Commission","Allow Sales","Max Discount (%)","Is Ineligible for Input Tax Credit","Inspection Required before Purchase","Inspection Required before Delivery","Include Item In Manufacturing","Supply Raw Materials for Purchase","ID (Taxes)","Item Tax Template (Taxes)","Maximum Net Rate (Taxes)","Minimum Net Rate (Taxes)","ID (UOMs)","Conversion Factor (UOMs)","UOM (UOMs)","ID (Item Defaults)","Company (Item Defaults)","Default Warehouse (Item Defaults)"
"CORBIS 5","Medications","Nos","STO-ITEM-.YYYY.-","CORBIS 5","30049099","0","0","1","0","0","Strip 15","135.0","9.0","8.5714","0","0","0","0","0","0","0","0","CORBIS 5","0","2028-06-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","9e8x18ttfo","GST 5% - DRDSC","0","0","tjpn4m6ixr","1","Nos","k29e3cm887","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"CORBIS D","Medications","Nos","STO-ITEM-.YYYY.-","CORBIS D","30049099","0","0","1","0","0","Strip 15","285.0","19.0","18.0952","0","0","0","0","0","0","0","0","CORBIS D","0","2027-09-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","m09c307qx1","GST 5% - DRDSC","0","0","rzhbh9p587","1","Nos","tkv10bcbio","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"CTD 6.25","Medications","Nos","STO-ITEM-.YYYY.-","CTD 6.25","30049099","0","0","1","0","0","Strip 15","124.35","8.29","7.8952","0","0","0","0","0","0","0","0","CTD 6.25","0","2027-06-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","n11km6ybl3","GST 5% - DRDSC","0","0","thoygj4oo9","1","Nos","8kag9zi65z","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"CTD T 6.25/40","Medications","Nos","STO-ITEM-.YYYY.-","CTD T 6.25/40","30049099","0","0","1","0","0","Strip 15","236.95","15.797","15.0448","0","0","0","0","0","0","0","0","CTD T 6.25/40","0","2028-02-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","atijoo5nff","GST 5% - DRDSC","0","0","qj4w0guybo","1","Nos","yf8hey91tl","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"D3 TOL 60K","Medications","Nos","STO-ITEM-.YYYY.-","D3 TOL 60K","30049099","0","0","1","0","0","Strip 4","102.5","25.625","24.4048","0","0","0","0","0","0","0","0","D3 TOL 60K","0","2027-06-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","hciwi9fio8","GST 5% - DRDSC","0","0","mg0dqh9ps8","1","Nos","x9p5pj8wfu","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"DAPAGET 10","Medications","Nos","STO-ITEM-.YYYY.-","DAPAGET 10","30049099","0","0","1","0","0","Strip 14","189.0","13.5","12.8571","0","0","0","0","0","0","0","0","DAPAGET 10","0","2027-04-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","yerpgyrvtw","GST 5% - DRDSC","0","0","2r86qern5l","1","Nos","ch5e6pt15e","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"DAPAMAC 5/500","Medications","Nos","STO-ITEM-.YYYY.-","DAPAMAC 5/500","30049099","0","0","1","0","0","Strip 15","110.15","7.343","6.9933","0","0","0","0","0","0","0","0","DAPAMAC 5/500","0","2027-10-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","vg81jm981b","GST 5% - DRDSC","0","0","hvhsaqr3m6","1","Nos","iaqg837h56","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"DAPEFY 5","Medications","Nos","STO-ITEM-.YYYY.-","DAPEFY 5","30049099","0","0","1","0","0","Strip 14","163.0","11.643","11.0886","0","0","0","0","0","0","0","0","DAPEFY 5","0","2028-03-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","k3ngymkxxa","GST 5% - DRDSC","0","0","btdd78z7y7","1","Nos","annmjl087o","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"DOLO 650","Medications","Nos","STO-ITEM-.YYYY.-","DOLO 650","30049099","0","0","1","0","0","Strip 15","32.12","2.141","2.039","0","0","0","0","0","0","0","0","DOLO 650","0","2029-03-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","vil6tdr2ye","GST 5% - DRDSC","0","0","nlhi4t2o4a","1","Nos","mgj0g5u5ac","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"ECOD MG","Medications","Nos","STO-ITEM-.YYYY.-","ECOD MG","30049099","0","0","1","0","0","Strip 15","449.7","29.98","28.5524","0","0","0","0","0","0","0","0","ECOD MG","0","2026-12-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","b9qckmjlii","GST 5% - DRDSC","0","0","pev3gwylnf","1","Nos","w91hpsk85q","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
